"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"92629","DANA POINT, CA","G",7858,"G",74334,"G",353097,939,"DANA POINT","CA","ORANGE"
"92630","LAKE FOREST, CA","G",24981,"G",430202,"G",1807180,2151,"LAKE FOREST","CA","ORANGE"
"92637","LAGUNA WOODS, CA","G",2188,"G",20152,"G",93703,148,"LAGUNA WOODS","CA","ORANGE"
"92646","HUNTINGTON BEACH, CA","G",6679,"G",63318,"G",280983,1022,"HUNTINGTON BEACH","CA","ORANGE"
"92647","HUNTINGTON BEACH, CA","G",25350,"G",389678,"G",1565296,1865,"HUNTINGTON BEACH","CA","ORANGE"
"92648","HUNTINGTON BEACH, CA","G",15518,"G",165529,"G",807039,1824,"HUNTINGTON BEACH","CA","ORANGE"
"92649","HUNTINGTON BEACH, CA","G",16119,"G",208691,"G",949791,1425,"HUNTINGTON BEACH","CA","ORANGE"
"92651","LAGUNA BEACH, CA","G",9261,"G",138989,"G",758370,1400,"LAGUNA BEACH","CA","ORANGE"
"92652","LAGUNA BEACH, CA","G",120,"G",970,"G",4313,10,"LAGUNA BEACH","CA","ORANGE"
"92653","LAGUNA HILLS, CA","G",19041,"G",268153,"G",1180201,1885,"LAGUNA HILLS","CA","ORANGE"
"92654","LAGUNA HILLS, CA","J",75,"H",1215,"H",5595,9,"LAGUNA HILLS","CA","ORANGE"
"92655","MIDWAY CITY, CA","G",375,"G",4725,"G",21440,89,"MIDWAY CITY","CA","ORANGE"
"92656","ALISO VIEJO, CA","G",22530,"G",573101,"G",2192021,1432,"ALISO VIEJO","CA","ORANGE"
"92657","NEWPORT COAST, CA","H",2664,"H",27927,"H",158491,355,"NEWPORT COAST","CA","ORANGE"
"92658","NEWPORT BEACH, CA","J",6617,"J",110405,"J",523490,27,"NEWPORT BEACH","CA","ORANGE"
"92659","NEWPORT BEACH, CA","J",20,"G",107,"G",651,9,"NEWPORT BEACH","CA","ORANGE"
"92660","NEWPORT BEACH, CA","G",53553,"G",1463598,"G",6311923,4328,"NEWPORT BEACH","CA","ORANGE"
"92661","NEWPORT BEACH, CA","H",970,"G",7302,"G",41818,118,"NEWPORT BEACH","CA","ORANGE"
"92662","NEWPORT BEACH, CA","G",564,"G",4267,"G",20572,89,"NEWPORT BEACH","CA","ORANGE"
"92663","NEWPORT BEACH, CA","G",11764,"G",150153,"G",754310,1430,"NEWPORT BEACH","CA","ORANGE"
"92672","SAN CLEMENTE, CA","G",10405,"H",194330,"G",736997,1366,"SAN CLEMENTE","CA","ORANGE"
"92673","SAN CLEMENTE, CA","G",11114,"G",227905,"G",840517,1240,"SAN CLEMENTE","CA","ORANGE"
"92674","SAN CLEMENTE, CA","J",62,"J",819,"J",4206,12,"SAN CLEMENTE","CA","ORANGE"
"92675","SAN JUAN CAPISTRANO, CA","G",17507,"G",238045,"G",1001241,1385,"SAN JUAN CAPISTRANO","CA","ORANGE"
"92676","SILVERADO, CA","G",216,"G",2294,"G",10435,48,"SILVERADO","CA","ORANGE"
"92677","LAGUNA NIGUEL, CA","G",13588,"G",168346,"G",777470,1875,"LAGUNA NIGUEL","CA","ORANGE"
